Country,Year,Gender ratio,Education level,Percentage women
96,2019,1.03,96,2019
96,2020,1.03,96,2020
96,2005,1.07,96,2005
96,2015,1.04,96,2015
96,2018,1.04,96,2018
96,2019,1.05,96,2019
96,2020,1.05,96,2020
100,1995,0.99,100,1995
100,2005,0.99,100,2005
100,2010,1.0,100,2010
100,2015,0.99,100,2015
100,2018,0.99,100,2018
100,2019,0.99,100,2019
100,1995,1.0,100,1995
100,2005,0.96,100,2005
100,2010,0.96,100,2010
100,2015,0.97,100,2015
100,2018,0.97,100,2018
100,2019,0.98,100,2019
100,1995,1.07,100,1995
100,2005,0.98,100,2005
100,2010,0.97,100,2010
100,2015,0.98,100,2015
100,2018,0.96,100,2018
854,1995,0.66,854,1995
854,2005,0.8,854,2005
854,2010,0.91,854,2010
854,2015,0.97,854,2015
854,2018,0.98,854,2018
854,2019,0.99,854,2019
854,2020,1.01,854,2020
854,2005,0.71,854,2005
854,2010,0.76,854,2010
854,2015,0.92,854,2015
854,2018,1.0,854,2018
854,2019,1.03,854,2019
854,2020,1.06,854,2020
854,2005,0.6,854,2005
854,2010,0.61,854,2010
854,2015,0.66,854,2015
854,2018,0.72,854,2018
854,2019,0.79,854,2019
854,2020,0.83,854,2020
108,1995,0.8,108,1995
108,2005,0.86,108,2005
108,2010,0.99,108,2010
108,2015,1.03,108,2015
108,2018,1.01,108,2018
108,2019,1.01,108,2019
108,2005,0.74,108,2005
108,2010,0.72,108,2010
108,2015,0.94,108,2015
108,2018,1.11,108,2018
108,2019,1.15,108,2019
108,2005,0.66,108,2005
108,2010,0.59,108,2010
108,2015,0.74,108,2015
108,2018,0.96,108,2018
108,2019,1.02,108,2019
132,2005,0.96,132,2005
132,2010,0.93,132,2010
132,2015,0.93,132,2015
132,2018,0.93,132,2018
132,2019,0.94,132,2019
132,2005,1.13,132,2005
132,2010,1.19,132,2010
132,2015,1.12,132,2015
132,2018,1.1,132,2018
132,2019,1.09,132,2019
132,2005,1.14,132,2005
132,2010,1.32,132,2010
132,2015,1.28,132,2015
132,2018,1.27,132,2018
132,2019,1.24,132,2019
116,1995,0.82,116,1995
116,2005,0.93,116,2005
116,2010,0.94,116,2010
116,2015,0.99,116,2015
116,2018,0.98,116,2018
116,2019,0.97,116,2019
116,2020,0.97,116,2020
116,2020,1.08,116,2020
116,2020,0.99,116,2020
120,1995,0.9,120,1995
120,2005,0.84,120,2005
120,2010,0.86,120,2010
120,2015,0.9,120,2015
120,2018,0.9,120,2018
120,2019,0.9,120,2019
120,1995,0.69,120,1995
120,2005,0.79,120,2005
