Building Address Key,Building Key,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
W61A-STREET,W61A,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61B-E911_1,W61B,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61B-STREET,W61B,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61C-E911_1,W61C,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61C-STREET,W61C,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61D-E911_1,W61D,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61D-STREET,W61D,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61E-E911_1,W61E,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61E-STREET,W61E,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61F-E911_1,W61F,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61F-STREET,W61F,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61G-E911_1,W61G,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61G-STREET,W61G,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61H-E911_1,W61H,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61H-STREET,W61H,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61J-E911_1,W61J,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61J-STREET,W61J,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61M-E911_1,W61M,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61M-STREET,W61M,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W64-E911_1,W64,E911_1,"","",219,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W64-MAIL,W64,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W64-STREET,W64,STREET,"","",219,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70-E911_1,W70,E911_1,627,"",471,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70-E911_2,W70,E911_2,24912,"",472,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70-E911_3,W70,E911_3,24913,"",473,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70-E911_4,W70,E911_4,24914,"",474,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70-E911_5,W70,E911_5,24915,"",475,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70-E911_6,W70,E911_6,24916,"",476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70-MAIL,W70,MAIL,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70-PARCL1,W70,PARCL1,"","",MEM430,"","","","","","","",02139,01/08/16 05:13 AM
W70-STREET,W70,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70A-E911_1,W70A,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70A-STREET,W70A,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70B-E911_1,W70B,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70B-STREET,W70B,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70C-E911_1,W70C,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70C-STREET,W70C,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70D-E911_1,W70D,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70D-STREET,W70D,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70E-E911_1,W70E,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70E-STREET,W70E,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70F-E911_1,W70F,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70F-E911_2,W70F,E911_2,"","",476,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70F-STREET,W70F,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70G-E911_1,W70G,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70G-E911_2,W70G,E911_2,"","",476,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W70G-STREET,W70G,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W71-E911_1,W71,E911_1,593,"",500,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W71-MAIL,W71,MAIL,593,"",500,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W71-PARCL1,W71,PARCL1,"","",MEM531,"","","","","","","",02139,01/08/16 05:13 AM
W71-PARCL2,W71,PARCL2,"","",MEM430,"","","","","","","",02139,01/08/16 05:13 AM
W71-STREET,W71,STREET,593,"",500,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W79-E911_1,W79,E911_1,4628,"",229,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W79-MAIL,W79,MAIL,4628,"",229,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W79-STREET,W79,STREET,4628,"",229,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W84-E911_1,W84,E911_1,589,"",550,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W84-MAIL,W84,MAIL,589,"",550,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W84-PARCL1,W84,PARCL1,"","",MEM531R,"","","","","","","",02139,01/08/16 05:13 AM
W84-PARCL2,W84,PARCL2,"","",MEM531,"","","","","","","",02139,01/08/16 05:13 AM
W84-STREET,W84,STREET,589,"",550,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85-E911_1,W85,E911_1,591,"",540,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85-MAIL,W85,MAIL,"","",WESTGATE,"","","","","","","",02139,01/08/16 05:13 AM
W85-PARCL1,W85,PARCL1,"","",MEM545R,"","","","","","","",02139,01/08/16 05:13 AM
W85-STREET,W85,STREET,"","",540,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85A-E911_1,W85A,E911_1,26740,"",11,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85A-PARCL1,W85A,PARCL1,"","",MEM545R,"","","","","","","",02139,01/08/16 05:13 AM
W85A-STREET,W85A,STREET,26740,"",11,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85ABC-E911_1,W85ABC,E911_1,26740,"",11,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85ABC-E911_2,W85ABC,E911_2,27034,"",13,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85ABC-E911_3,W85ABC,E911_3,27325,"",15,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85ABC-STREET,W85ABC,STREET,"","",11-13-15,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85B-E911_1,W85B,E911_1,27034,"",13,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85B-PARCL1,W85B,PARCL1,"","",MEM545R,"","","","","","","",02139,01/08/16 05:13 AM
W85B-STREET,W85B,STREET,27034,"",13,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85C-E911_1,W85C,E911_1,27325,"",15,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85C-PARCL1,W85C,PARCL1,"","",MEM545R,"","","","","","","",02139,01/08/16 05:13 AM
W85C-STREET,W85C,STREET,27325,"",15,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85D-E911_1,W85D,E911_1,28662,"",292,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85D-PARCL1,W85D,PARCL1,"","",MEM545R,"","","","","","","",02139,01/08/16 05:13 AM
W85D-STREET,W85D,STREET,28662,"",292,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85DE-E911_1,W85DE,E911_1,588,"",290,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85DE-E911_2,W85DE,E911_2,28662,"",292,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85DE-STREET,W85DE,STREET,"","",292-290,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85E-E911_1,W85E,E911_1,588,"",290,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85E-PARCL1,W85E,PARCL1,"","",MEM545R,"","","","","","","",02139,01/08/16 05:13 AM
W85E-STREET,W85E,STREET,588,"",290,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85F-E911_1,W85F,E911_1,28625,"",286,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W85F-PARCL1,W85F,PARCL1,"","",MEM545R,"","","","","","","",02139,01/08/16 05:13 AM
W85F-STREET,W85F,STREET,28625,"",286,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
