tid;relationship;related_tid;targrel_id
104905;OVERLAPS WITH;104702;36241
104905;SUPERSET OF;11191;36242
104905;OVERLAPS WITH;104703;36243
104905;SUPERSET OF;12770;36244
104905;SUPERSET OF;11440;36246
104905;SUPERSET OF;104291;36247
104905;OVERLAPS WITH;105121;36248
104905;SUPERSET OF;12757;36249
104905;OVERLAPS WITH;105059;36250
104905;OVERLAPS WITH;104921;36251
104905;OVERLAPS WITH;104712;36252
104905;OVERLAPS WITH;105087;36253
104905;OVERLAPS WITH;104774;36254
104905;OVERLAPS WITH;104704;36256
104905;OVERLAPS WITH;104904;36257
104448;SUBSET OF;104851;36259
104716;SUPERSET OF;104990;36260
104716;SUPERSET OF;11930;36262
104725;SUPERSET OF;96;36264
104725;SUPERSET OF;126;36265
105019;SUBSET OF;109738;36266
105019;OVERLAPS WITH;104746;36267
105019;OVERLAPS WITH;104747;36268
105019;OVERLAPS WITH;105089;36269
105019;OVERLAPS WITH;104748;36270
105019;SUPERSET OF;163;36271
105019;OVERLAPS WITH;104856;36272
105019;SUPERSET OF;133;36273
105019;OVERLAPS WITH;105060;36274
105045;SUPERSET OF;100;36275
105045;OVERLAPS WITH;104870;36276
105045;SUBSET OF;105759;36277
105045;OVERLAPS WITH;104785;36278
105045;SUPERSET OF;121;36279
105046;SUPERSET OF;12076;36280
105046;OVERLAPS WITH;104944;36281
105046;SUPERSET OF;12566;36282
105046;SUBSET OF;104303;36283
105105;OVERLAPS WITH;104795;36284
105105;SUBSET OF;104691;36285
105105;OVERLAPS WITH;104925;36286
105105;SUPERSET OF;215;36287
105105;OVERLAPS WITH;104771;36288
105105;SUPERSET OF;47;36289
105105;OVERLAPS WITH;104962;36290
105111;OVERLAPS WITH;107892;36291
105111;SUPERSET OF;12955;36293
105076;SUPERSET OF;104288;36294
105076;OVERLAPS WITH;105709;36295
105076;OVERLAPS WITH;105508;36297
105076;OVERLAPS WITH;107887;36298
105076;OVERLAPS WITH;107885;36299
105076;OVERLAPS WITH;107884;36300
105076;OVERLAPS WITH;104891;36301
105076;OVERLAPS WITH;104894;36302
105076;SUPERSET OF;104895;36303
105076;OVERLAPS WITH;108129;36304
105076;OVERLAPS WITH;108128;36305
105076;OVERLAPS WITH;104898;36307
105076;OVERLAPS WITH;104897;36308
105076;OVERLAPS WITH;104283;36310
105076;OVERLAPS WITH;104282;36311
105076;SUPERSET OF;10642;36312
105076;OVERLAPS WITH;108141;36313
105076;SUPERSET OF;11184;36315
105076;OVERLAPS WITH;104285;36316
104916;SUPERSET OF;105108;36317
104916;SUPERSET OF;101249;36319
104916;SUPERSET OF;103486;36320
104919;OVERLAPS WITH;105006;36321
104919;SUPERSET OF;12000;36322
104919;OVERLAPS WITH;104934;36323
104919;OVERLAPS WITH;104778;36324
104919;OVERLAPS WITH;104969;36325
104919;OVERLAPS WITH;104928;36326
104919;OVERLAPS WITH;105096;36327
104919;SUPERSET OF;194;36328
104923;SUPERSET OF;10501;36329
104923;SUPERSET OF;10294;36330
104934;OVERLAPS WITH;104919;36331
104934;OVERLAPS WITH;104969;36332
104934;OVERLAPS WITH;104928;36333
104934;SUPERSET OF;193;36334
104934;OVERLAPS WITH;105096;36335
104934;SUPERSET OF;194;36336
104937;SUPERSET OF;12414;36337
104960;SUPERSET OF;12661;36339
104960;OVERLAPS WITH;104830;36340
104960;SUPERSET OF;104292;36341
104960;SUPERSET OF;104685;36342
104960;OVERLAPS WITH;104924;36343
104960;OVERLAPS WITH;105103;36344
104960;SUPERSET OF;49;36345
104960;OVERLAPS WITH;104985;36347
104960;OVERLAPS WITH;104936;36349
104962;OVERLAPS WITH;104795;36351
104962;OVERLAPS WITH;105105;36352
104962;SUBSET OF;104691;36353
104962;SUPERSET OF;214;36354
104962;OVERLAPS WITH;104771;36355
104962;SUPERSET OF;47;36356
104963;SUPERSET OF;12345;36358
104964;SUBSET OF;104304;36361
104964;OVERLAPS WITH;105004;36362
104964;SUBSET OF;104882;36363
104964;SUBSET OF;104693;36364
104964;SUPERSET OF;12742;36365
104964;SUPERSET OF;12514;36366
104782;SUPERSET OF;2;36367
104782;OVERLAPS WITH;104852;36368
104782;SUBSET OF;104737;36369
104782;SUPERSET OF;285;36370
104789;SUPERSET OF;86;36371
104789;SUPERSET OF;104;36372
104848;OVERLAPS WITH;104835;36373
104848;SUPERSET OF;12865;36374
104848;OVERLAPS WITH;107932;36375
104848;SUBSET OF;104824;36376
104848;OVERLAPS WITH;104821;36377
104848;SUBSET OF;104302;36378
104848;SUPERSET OF;100000;36379
104857;SUPERSET OF;10113;36380
104857;SUPERSET OF;11260;36382
104857;SUPERSET OF;12791;36383
104859;SUPERSET OF;11250;36385
104859;SUPERSET OF;10604;36387
104888;SUPERSET OF;132;36391
104888;SUPERSET OF;103803;36392
104888;SUPERSET OF;103802;36393
104892;OVERLAPS WITH;104896;36394
104892;OVERLAPS WITH;104887;36395
104892;OVERLAPS WITH;104889;36396
104892;SUPERSET OF;11064;36398
104797;SUBSET OF;104815;36399
104797;SUPERSET OF;11680;36400
104797;SUPERSET OF;12719;36401
104803;SUPERSET OF;12226;36402
104803;SUPERSET OF;10399;36403
104805;SUPERSET OF;10532;36404
104805;SUPERSET OF;93;36405
104288;SUBSET OF;108129;36406
104288;OVERLAPS WITH;108128;36407
104288;SUBSET OF;105508;36408
104288;OVERLAPS WITH;107885;36409
104288;OVERLAPS WITH;104891;36410
104288;SUBSET OF;108141;36411
104288;OVERLAPS WITH;104894;36413
104288;OVERLAPS WITH;104285;36414
104288;SUPERSET OF;11184;36415
104288;SUBSET OF;105076;36416
104288;OVERLAPS WITH;104895;36417
104294;OVERLAPS WITH;109746;36418
104294;SUPERSET OF;12947;36419
104294;SUPERSET OF;12648;36420
104976;SUPERSET OF;101004;36421
104976;SUPERSET OF;11080;36422
104977;OVERLAPS WITH;108400;36423
104977;OVERLAPS WITH;104808;36424
104977;OVERLAPS WITH;104295;36425
104977;OVERLAPS WITH;104965;36426
104977;OVERLAPS WITH;109746;36427
104977;SUPERSET OF;10522;36428
104977;SUPERSET OF;10480;36429
11694;SUBSET OF;107892;36430
168;SUBSET OF;104841;36431
43;SUBSET OF;105082;36432
43;SUBSET OF;104854;36433
43;SUBSET OF;104700;36434
43;SUBSET OF;105670;36435
57;SUBSET OF;105764;36436
57;SUBSET OF;105766;36437
57;SUBSET OF;105767;36438
12078;SUBSET OF;105001;36441
12103;SUBSET OF;104824;36442
12103;SUBSET OF;104821;36443
12103;SUBSET OF;104302;36444
