year,region,name,ratio
2015,76,Brazil,0.96
2015,76,Brazil,1.06
2015,76,Brazil,1.17
2018,76,Brazil,0.97
2018,76,Brazil,1.03
2018,76,Brazil,1.13
2019,76,Brazil,0.96
2019,76,Brazil,1.05
2019,76,Brazil,1.13
2018,96,Brunei Darussalam,1.01
2018,96,Brunei Darussalam,1.02
2018,96,Brunei Darussalam,1.04
2019,96,Brunei Darussalam,1.01
2019,96,Brunei Darussalam,1.03
2019,96,Brunei Darussalam,1.05
2020,96,Brunei Darussalam,1.0
2020,96,Brunei Darussalam,1.03
2020,96,Brunei Darussalam,1.05
2005,100,Bulgaria,0.99
2005,100,Bulgaria,0.96
2005,100,Bulgaria,0.98
2010,100,Bulgaria,1.0
2010,100,Bulgaria,0.96
2010,100,Bulgaria,0.97
2015,100,Bulgaria,0.99
2015,100,Bulgaria,0.97
2015,100,Bulgaria,0.98
2018,100,Bulgaria,0.99
2018,100,Bulgaria,0.97
2018,100,Bulgaria,0.96
2019,100,Bulgaria,0.99
2019,100,Bulgaria,0.98
2019,100,Bulgaria,0.98
2005,854,Burkina Faso,0.8
2005,854,Burkina Faso,0.71
2005,854,Burkina Faso,0.6
2010,854,Burkina Faso,0.91
2010,854,Burkina Faso,0.76
2010,854,Burkina Faso,0.61
2015,854,Burkina Faso,0.97
2015,854,Burkina Faso,0.92
2015,854,Burkina Faso,0.66
2018,854,Burkina Faso,0.98
2018,854,Burkina Faso,1.0
2018,854,Burkina Faso,0.72
2019,854,Burkina Faso,0.99
2019,854,Burkina Faso,1.03
2019,854,Burkina Faso,0.79
2020,854,Burkina Faso,1.01
2020,854,Burkina Faso,1.06
2020,854,Burkina Faso,0.83
2005,108,Burundi,0.86
2005,108,Burundi,0.74
2005,108,Burundi,0.66
2010,108,Burundi,0.99
2010,108,Burundi,0.72
2010,108,Burundi,0.59
2015,108,Burundi,1.03
2015,108,Burundi,0.94
2015,108,Burundi,0.74
2018,108,Burundi,1.01
2018,108,Burundi,1.11
2018,108,Burundi,0.96
2019,108,Burundi,1.01
2019,108,Burundi,1.15
2019,108,Burundi,1.02
2005,132,Cabo Verde,0.96
2005,132,Cabo Verde,1.13
2005,132,Cabo Verde,1.14
2010,132,Cabo Verde,0.93
